Feature,Importance
OverTime,0.10742527349470243
NumCompaniesWorked,0.02827978292703942
BusinessTravel,0.021888190197260782
YearsSinceLastPromotion,0.021112929623567932
MaritalStatus,0.01964854853992598
JobSatisfaction,0.015220949263502504
JobRole,0.01477302093203554
TrainingTimesLastYear,0.013291411835644796
YearsWithCurrManager,0.011697820656387336
JobInvolvement,0.011344646395038394
StockOptionLevel,0.00966491515203729
Gender,0.009501249030924318
MonthlyIncome,0.009087776724954866
YearsInCurrentRole,0.008949952622964986
EnvironmentSatisfaction,0.008415884227754345
YearsAtCompany,0.006055646481178456
TotalWorkingYears,0.004005512964079661
RelationshipSatisfaction,0.003893530881212903
DistanceFromHome,0.0038849168748385397
PercentSalaryHike,0.0033077784477561155
PerformanceRating,0.002136273580842485
JobLevel,0.0019553794469808873
WorkLifeBalance,0.0009647687139288985
HourlyRate,0.0007321905418210429
EducationField,0.0007235765354466905
Education,0.0001464381083642774
MonthlyRate,-0.0001722801274871899
Department,-0.0002842622103539916
Age,-0.005125333792746956
DailyRate,-0.00782151778792306
